Iteration;ML_Algorithms_and_Parameters;Cross_Validation_Performance;generation;mutation;crossover;predecessor;operator
76;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=10, DecisionTreeClassifier__min_samples_leaf=10, DecisionTreeClassifier__min_samples_split=11);0.7375483483;1;1;0;('GaussianNB(input_matrix)',);1
77;MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False);0.6437287287;1;0;1;('MultinomialNB(input_matrix, MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False)', 'MultinomialNB(GaussianNB(input_matrix), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=True)');1
78;BernoulliNB(GaussianNB(input_matrix), BernoulliNB__alpha=10.0, BernoulliNB__fit_prior=True);0.7371479479;1;1;0;('BernoulliNB(input_matrix, BernoulliNB__alpha=10.0, BernoulliNB__fit_prior=True)',);2
79;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=92, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7329479479;1;1;0;('KNeighborsClassifier(RBFSampler(input_matrix, RBFSampler__gamma=0.9), KNeighborsClassifier__n_neighbors=92, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform)',);1
80;MultinomialNB(ZeroCount(input_matrix), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=True);0.7391479479;1;1;0;('MultinomialNB(CombineDFs(input_matrix, input_matrix), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=True)',);2
81;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=7);0.7375483483;1;1;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=7)',);1
82;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=92, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance);0.7353483483;1;1;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=1, DecisionTreeClassifier__min_samples_split=11)',);1
83;MultinomialNB(CombineDFs(input_matrix, input_matrix), MultinomialNB__alpha=100.0, MultinomialNB__fit_prior=True);0.7379475475;1;1;0;('MultinomialNB(CombineDFs(input_matrix, input_matrix), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=True)',);1
84;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=36, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance);0.7325459459;1;1;0;('KNeighborsClassifier(GaussianNB(input_matrix), KNeighborsClassifier__n_neighbors=36, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance)',);1
85;KNeighborsClassifier(CombineDFs(input_matrix, input_matrix), KNeighborsClassifier__n_neighbors=23, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform);0.7251489489;1;1;0;('KNeighborsClassifier(CombineDFs(input_matrix, input_matrix), KNeighborsClassifier__n_neighbors=23, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance)',);1
86;GaussianNB(ZeroCount(input_matrix));0.6449291291;1;1;0;('GaussianNB(input_matrix)',);2
87;GaussianNB(RobustScaler(input_matrix));0.7371479479;1;1;0;('GaussianNB(input_matrix)',);2
88;KNeighborsClassifier(StandardScaler(input_matrix), KNeighborsClassifier__n_neighbors=52, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7371481481;1;0;1;('KNeighborsClassifier(StandardScaler(input_matrix), KNeighborsClassifier__n_neighbors=79, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform)', 'KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=52, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform)');2
89;DecisionTreeClassifier(SelectPercentile(input_matrix, SelectPercentile__percentile=37), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=10, DecisionTreeClassifier__min_samples_leaf=19, DecisionTreeClassifier__min_samples_split=5);0.7379475475;1;1;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=10, DecisionTreeClassifier__min_samples_leaf=19, DecisionTreeClassifier__min_samples_split=5)',);2
90;MultinomialNB(GaussianNB(MultinomialNB(input_matrix, MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=True);0.6437287287;1;1;0;('MultinomialNB(GaussianNB(input_matrix), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=True)',);3
