Iteration;Cross_Validation_Performance;ML_Algorithms_and_Parameters;generation;mutation;crossover;predecessor;operator
135;0.7505489489;DecisionTreeClassifier(SelectPercentile(MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False), SelectPercentile__percentile=53), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=8, DecisionTreeClassifier__min_samples_split=12);2;1;0;('DecisionTreeClassifier(MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=8, DecisionTreeClassifier__min_samples_split=12)',);3
136;0.7487489489;KNeighborsClassifier(SelectFwe(GaussianNB(input_matrix), SelectFwe__alpha=0.046), KNeighborsClassifier__n_neighbors=89, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance);2;1;0;('KNeighborsClassifier(SelectFwe(input_matrix, SelectFwe__alpha=0.046), KNeighborsClassifier__n_neighbors=89, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance)',);3
137;0.7505489489;DecisionTreeClassifier(MinMaxScaler(input_matrix), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=11);2;1;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=11)',);2
138;0.7505489489;DecisionTreeClassifier(SelectFwe(input_matrix, SelectFwe__alpha=0.021), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=2, DecisionTreeClassifier__min_samples_split=16);2;1;0;('DecisionTreeClassifier(SelectFwe(input_matrix, SelectFwe__alpha=0.021), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=7, DecisionTreeClassifier__min_samples_split=16)',);2
139;0.7505489489;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=13);2;2;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=7)',);1
140;0.7395481481;KNeighborsClassifier(BernoulliNB(input_matrix, BernoulliNB__alpha=0.001, BernoulliNB__fit_prior=False), KNeighborsClassifier__n_neighbors=47, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance);2;1;0;('KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=47, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance)',);2
141;0.7505489489;DecisionTreeClassifier(ZeroCount(GaussianNB(input_matrix)), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=8, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=10);3;3;0;('DecisionTreeClassifier(GaussianNB(input_matrix), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=8, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=10)',);3
142;0.7505489489;DecisionTreeClassifier(FeatureAgglomeration(input_matrix, FeatureAgglomeration__affinity=l1, FeatureAgglomeration__linkage=complete), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=8, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=10);3;2;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=8, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=10)',);2
143;0.7505489489;KNeighborsClassifier(DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=4, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=15), KNeighborsClassifier__n_neighbors=94, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance);3;2;0;('KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=94, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance)',);2
144;0.7385483483;DecisionTreeClassifier(Binarizer(input_matrix, Binarizer__threshold=0.30000000000000004), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=17, DecisionTreeClassifier__min_samples_split=19);3;1;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=17, DecisionTreeClassifier__min_samples_split=19)',);2
145;0.7415483483;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=1, DecisionTreeClassifier__min_samples_leaf=8, DecisionTreeClassifier__min_samples_split=12);3;2;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=8, DecisionTreeClassifier__min_samples_split=12)',);1
146;0.7505489489;DecisionTreeClassifier(ZeroCount(input_matrix), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=13);3;3;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=13)',);2
147;0.7505489489;DecisionTreeClassifier(RBFSampler(input_matrix, RBFSampler__gamma=0.15000000000000002), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=8, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=10);3;2;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=8, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=10)',);2
148;0.7505489489;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=6, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=10);3;2;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=8, DecisionTreeClassifier__min_samples_leaf=12, DecisionTreeClassifier__min_samples_split=10)',);1
149;0.7505489489;DecisionTreeClassifier(SelectFwe(input_matrix, SelectFwe__alpha=0.021), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=7, DecisionTreeClassifier__min_samples_split=10);3;1;0;('DecisionTreeClassifier(SelectFwe(input_matrix, SelectFwe__alpha=0.021), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=7, DecisionTreeClassifier__min_samples_split=16)',);2
150;0.7505489489;DecisionTreeClassifier(StandardScaler(SelectFwe(input_matrix, SelectFwe__alpha=0.021)), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=2, DecisionTreeClassifier__min_samples_split=16);3;2;0;('DecisionTreeClassifier(SelectFwe(input_matrix, SelectFwe__alpha=0.021), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=2, DecisionTreeClassifier__min_samples_split=16)',);3
