Iteration;ML_Algorithms_and_Parameters;Cross_Validation_Performance;generation;mutation;crossover;predecessor;operator
73;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=4);0.7505491491;1;1;0;('DecisionTreeClassifier(PCA(input_matrix, PCA__iterated_power=10, PCA__svd_solver=randomized), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=4)',);1
74;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=38, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance);0.7435487487;1;1;0;('KNeighborsClassifier(MaxAbsScaler(input_matrix), KNeighborsClassifier__n_neighbors=38, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance)',);1
75;BernoulliNB(MaxAbsScaler(CombineDFs(input_matrix, input_matrix)), BernoulliNB__alpha=100.0, BernoulliNB__fit_prior=False);0.6395281281;1;1;0;('BernoulliNB(MaxAbsScaler(input_matrix), BernoulliNB__alpha=100.0, BernoulliNB__fit_prior=False)',);2
76;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=11);0.7453487487;1;1;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=12)',);1
77;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=55, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform);0.7463485485;1;0;1;('KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=55, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform)', 'KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=23, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform)');1
78;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=45, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform);0.7469491491;1;1;0;('KNeighborsClassifier(GaussianNB(input_matrix), KNeighborsClassifier__n_neighbors=45, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform)',);1
79;GaussianNB(RBFSampler(input_matrix, RBFSampler__gamma=0.8));0.6395281281;1;1;0;('GaussianNB(RBFSampler(input_matrix, RBFSampler__gamma=0.7000000000000001))',);2
80;BernoulliNB(input_matrix, BernoulliNB__alpha=1.0, BernoulliNB__fit_prior=False);0.6395281281;1;1;0;('BernoulliNB(input_matrix, BernoulliNB__alpha=100.0, BernoulliNB__fit_prior=False)',);1
81;LogisticRegression(BernoulliNB(input_matrix, BernoulliNB__alpha=10.0, BernoulliNB__fit_prior=True), LogisticRegression__C=1.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2);0.7441483483;1;1;0;('LogisticRegression(input_matrix, LogisticRegression__C=1.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2)',);2
82;GaussianNB(MultinomialNB(input_matrix, MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=True));0.6395281281;1;1;0;('GaussianNB(MultinomialNB(input_matrix, MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False))',);2
83;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=26, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance);0.7449469469;1;1;0;('KNeighborsClassifier(Normalizer(input_matrix, Normalizer__norm=max), KNeighborsClassifier__n_neighbors=26, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=distance)',);1
84;GaussianNB(MultinomialNB(GaussianNB(input_matrix), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False));0.6395281281;1;0;1;('GaussianNB(MultinomialNB(input_matrix, MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False))', 'KNeighborsClassifier(GaussianNB(input_matrix), KNeighborsClassifier__n_neighbors=45, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform)');3
85;MultinomialNB(MaxAbsScaler(ZeroCount(input_matrix)), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False);0.6395281281;1;1;0;('MultinomialNB(MaxAbsScaler(input_matrix), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False)',);3
86;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=48, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7465481481;1;1;0;('KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=97, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform)',);1
87;GaussianNB(KNeighborsClassifier(PCA(input_matrix, PCA__iterated_power=3, PCA__svd_solver=randomized), KNeighborsClassifier__n_neighbors=40, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform));0.7157435435;1;1;0;('GaussianNB(KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=40, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform))',);3
